"phoneme","ruhlen_ipa","ipa","class","modification_type","global_n_ruhlen","global_n_phoible","IDF_ruhlen","IDF_phoible","idf_shift","variance_shift_dir","in_ruhlen","in_phoible"
"phoneme_562","ɟ̤","ɟ̤","consonant","breathy",3,8,1,NA,NA,NA,TRUE,TRUE
"phoneme_575","ɗ̤","ɗ̤","consonant","breathy",1,NA,0.877220139853001,NA,NA,NA,TRUE,FALSE
"phoneme_579","d̤̣","d̤̣","consonant","breathy",36,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_596","ɓ̤","ɓ̤","consonant","breathy",1,NA,0.877220139853001,NA,NA,NA,TRUE,FALSE
"phoneme_622","d̤","d̤","consonant","breathy",49,11,0.805398525823219,NA,NA,NA,TRUE,TRUE
"phoneme_641","ɠ̤","ɠ̤","consonant","breathy",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_643","b̤","b̤","consonant","breathy",47,42,0.805398525823219,NA,NA,NA,TRUE,TRUE
"phoneme_709","r̤","r̤","consonant","breathy",7,6,1,NA,NA,NA,TRUE,TRUE
"phoneme_714","ɾ̤","ɾ̤","consonant","breathy",2,3,1,NA,NA,NA,TRUE,TRUE
"phoneme_727","ɾ̣̤","ɾ̣̤","consonant","breathy",6,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_666","d̪̤","d̪̤","consonant","breathy+dental",1,30,0.877220139853001,NA,NA,NA,TRUE,TRUE
"phoneme_680","ɡ̤ʷ","ɡ̤ʷ","consonant","breathy+labialized",0,2,1,NA,NA,NA,TRUE,TRUE
"phoneme_628","b̰","b̰","consonant","creaky",1,13,1,0.89317184481387,0.10682815518613,"+",TRUE,TRUE
"phoneme_594","d̰","d̰","consonant","creaky",1,8,1,1,0,"0",TRUE,TRUE
"phoneme_010","ɡ̰̌","ɡ̰̌","consonant","creaky",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_623","ɖ̰","ḍ̰","consonant","creaky",1,1,1,NA,NA,NA,TRUE,TRUE
"phoneme_690","ɡ̰","ɡ̰","consonant","creaky",1,1,1,NA,NA,NA,TRUE,TRUE
"phoneme_556","t̪","t̪","consonant","dental",53,462,0.805398525823219,0.452128187425198,0.353270338398021,"+",TRUE,TRUE
"phoneme_580","d̪","d̪","consonant","dental",38,265,0.877220139853001,0.634752124950132,0.242468014902869,"+",TRUE,TRUE
"phoneme_547","n̪","n̪","consonant","dental",27,350,0.877220139853001,0.66993372762877,0.207286412224231,"+",TRUE,TRUE
"phoneme_444","l̪","l̪","consonant","dental",9,150,1,0.89317184481387,0.10682815518613,"+",TRUE,TRUE
"phoneme_310","s̪","s̪","consonant","dental",7,81,1,1,0,"0",TRUE,TRUE
"phoneme_342","z̪","z̪","consonant","dental",3,41,1,NA,NA,NA,TRUE,TRUE
"phoneme_448","ɬ̪","ɬ̪","consonant","dental",1,8,1,NA,NA,NA,TRUE,TRUE
"phoneme_534","n̪ᵚ","n̪ᵚ","consonant","dental",1,NA,0.877220139853001,NA,NA,NA,TRUE,FALSE
"phoneme_552","ɗ̪","ɗ̪","consonant","dental",1,4,1,NA,NA,NA,TRUE,TRUE
"phoneme_559","ᵈt̪ˣ","ᵈt̪ˣ","consonant","dental",1,NA,1,NA,NA,NA,TRUE,FALSE
"phoneme_614","t̪ᵚ","t̪ᵚ","consonant","dental",1,NA,0.877220139853001,NA,NA,NA,TRUE,FALSE
"phoneme_721","r̪","r̪","consonant","dental",3,20,1,NA,NA,NA,TRUE,TRUE
