"language_id","language","latitude","longitude","glottocode","author","number_of_entries","source_url","number_of_loans","loans_norm"
"1271","Tadyawan",13.0211,121.305,"tady1237","Barbian (1977)",173,"https://abvd.eva.mpg.de/austronesian/language.php?id=1271",0,0
"449, 133","Tagabili; Tboli (Tagabili)",6.20377,124.538,"tbol1240","V. Forsberg in Reid (1971); Lawrence A. Reid",206,"https://abvd.eva.mpg.de/austronesian/language.php?id=449; https://abvd.eva.mpg.de/austronesian/language.php?id=133",0,0
"450","Tagbanwa, Aborlan Dialect",10.6519,119.338,"cent2090","S. Hussey in Reid (1971)",178,"https://abvd.eva.mpg.de/austronesian/language.php?id=450",0,0
"451","Tagbanwa, Kalamian, Coron Island Dialect",12.0716,120.094,"cala1258","E. Ruch in Reid (1971)",178,"https://abvd.eva.mpg.de/austronesian/language.php?id=451",1,0.0769230769230769
"452","Tausug, Jolo Dialect",5.12236,118.88,"taus1251","S. Ashley in Reid (1971)",208,"https://abvd.eva.mpg.de/austronesian/language.php?id=452",0,0
"22","Timugon (Murut)",5.1796,115.826,"timu1262","Jack Prentice",200,"https://abvd.eva.mpg.de/austronesian/language.php?id=22",0,0
"707","Tiruray",6.77321,124.127,"tiru1241","Stuart A. Schlegel",201,"https://abvd.eva.mpg.de/austronesian/language.php?id=707",1,0.0769230769230769
"1261","Umiray Dumaget",14.8757,121.508,"umir1236","Ronald Himes (2002)",94,"https://abvd.eva.mpg.de/austronesian/language.php?id=1261",0,0
"1259","Utudnon",10.6956,124.8086,"bayb1234","Carl Rubino (2005)",46,"https://abvd.eva.mpg.de/austronesian/language.php?id=1259",0,0
"200","Yakan",6.53102,122.02173,"yaka1277","Blust, from Pack (1975), Behren (2002), Molony (1969)",207,"https://abvd.eva.mpg.de/austronesian/language.php?id=200",1,0.0769230769230769
"713","Yogad",16.7015,121.718,"yoga1237","Davis & Mesa",203,"https://abvd.eva.mpg.de/austronesian/language.php?id=713",2,0.153846153846154
