ID	Concept	Language	IPA
678	water	BUKIDNON BINUKID	wahig
679	we	BUKIDNON BINUKID	jaŋkuj
680	you	BUKIDNON BINUKID	jaŋka
681	I	BUTUANON	ako
682	blood	BUTUANON	dugo
683	bone	BUTUANON	bukog
684	breast	BUTUANON	dughan
685	come	BUTUANON	kansani
686	die	BUTUANON	pataj
687	dog	BUTUANON	gadja
688	drink	BUTUANON	moinum
689	ear	BUTUANON	taliŋa
690	eye	BUTUANON	mata
691	fire	BUTUANON	kajo
692	fish	BUTUANON	isda
693	full	BUTUANON	
694	hand	BUTUANON	alima
695	hear	BUTUANON	moduŋog
696	horn	BUTUANON	
697	knee	BUTUANON	
698	leaf	BUTUANON	dahon
699	liver	BUTUANON	ataj
700	louse	BUTUANON	kujamad
701	mountain	BUTUANON	
702	name	BUTUANON	ŋan
703	new	BUTUANON	bago
704	night	BUTUANON	dum
705	nose	BUTUANON	iloŋ
706	one	BUTUANON	isa
707	path	BUTUANON	dan
708	person	BUTUANON	tao
709	see	BUTUANON	makita
710	skin	BUTUANON	panit
711	star	BUTUANON	bituon
712	stone	BUTUANON	bato
713	sun	BUTUANON	
714	tongue	BUTUANON	dila
715	tooth	BUTUANON	ŋipon
716	tree	BUTUANON	
717	two	BUTUANON	duwa
718	water	BUTUANON	tubig
719	we	BUTUANON	kita
720	you	BUTUANON	ikaw
721	I	CAIJIA	ŋuo glottocode: caidʒ12ə4
722	blood	CAIJIA	tʃr
723	bone	CAIJIA	kuituo
724	breast	CAIJIA	mi
725	come	CAIJIA	xu
726	die	CAIJIA	sr
727	dog	CAIJIA	khui
728	drink	CAIJIA	an
729	ear	CAIJIA	nikha
730	eye	CAIJIA	nicr
731	fire	CAIJIA	fai
732	fish	CAIJIA	xuŋ
733	full	CAIJIA	pəu
734	hand	CAIJIA	suo
735	hear	CAIJIA	thi
736	horn	CAIJIA	ko
737	knee	CAIJIA	
738	leaf	CAIJIA	
739	liver	CAIJIA	sanka
740	louse	CAIJIA	sei
741	mountain	CAIJIA	tipəu
742	name	CAIJIA	mi
