ID	Concept	Language	form
1650	we	CAIJIA	ŋuo
1656	you	CAIJIA	nu
1657	I	CEBUANO	ako
1664	blood	CEBUANO	duguʔ
1665	bone	CEBUANO	bukug
1666	breast	CEBUANO	dughan
1670	come	CEBUANO	anhi
1671	die	CEBUANO	mataj
1672	dog	CEBUANO	iroʔ
1673	drink	CEBUANO	inum
1675	ear	CEBUANO	daluŋgan
1679	eye	CEBUANO	mata
1681	fire	CEBUANO	kalaju
1682	fish	CEBUANO	isda
1691	hand	CEBUANO	kamut
1693	hear	CEBUANO	duŋug
1699	leaf	CEBUANO	dahun
