ID	CONCEPT	DOCULECT	FORM	TOKENS
804	breast	CASIGURAN NEGRITO	gisap	g i s a p
844	breast	CEBUANO	dughan	d u gh a n
884	breast	CENTRAL BICOLANO	susu	s u s u
924	breast	CENTRAL BONTOC	susu	s u s u
964	breast	CENTRAL DUSUN	susu	s u s u
1004	breast	CENTRAL TAGBANWA	tuto	t u t o
1044	breast	CUYONON	itən	i t ə n
1084	breast	DARAGA	susu	s u s u
1124	breast	DUMAGAT CASIGURAN	gisat	g i s a t
1164	breast	DUPANINGAN AGTA	gisat	g i s a t
1204	breast	ENGLISH	brEst	b r es t
1244	breast	ESKAYAN	palda	p a l d a
1284	breast	ESTONIAN	rind	r i n d
1324	breast	FINNISH	rinta	r i n t a
1364	breast	FUZHOU CHINESE	neiŋ	n e i ŋ
1404	breast	GADDANG	gatat	g a t a t
1444	breast	HANUNOO	susu	s u s u
1524	breast	HUNGARIAN	mel	m e l
1564	breast	IBALOI	soso	s o s o
1604	breast	IBANAG	susu	s u s u
1644	breast	IDAAN	tusu	t u s u
1684	breast	IFUGAO AMGANAD	palagpag	p a l a g p a g
1724	breast	IFUGAO BATAD	huhu	h u h u
1764	breast	IFUGAO BAYNINAN	palagpag	p a l a g p a g
1804	breast	ILOKANO	suso	s u s o
1844	breast	ILONGOT KAKIDUGEN	tutu	t u t u
1884	breast	INIBALOI	soso	s o s o
1924	breast	IRANUN	susu	s u s u
1964	breast	IRIGA	susu	s u s u
2004	breast	ISNAG	gatat	g a t a t
2044	breast	ISNEG	gatat	g a t a t
2084	breast	ITAWIT	susu	s u s u
