ID	CONCEPT	DOCULECT	FORM	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGNATES
3044	breast	MANOBO KALAMANSIG COTABATO	susu	s u s u	3 7 3 7	AXBZ	SYSY	91	91.S.C 91.Y.V 91.S.C 91.Y.V	2.0 1.5 1.75 0.8	susu	0	471
3084	breast	MANOBO SARANGANI	soso	s o s o	3 7 3 7	AXBZ	SUSU	92	92.S.C 92.U.V 92.S.C 92.U.V	2.0 1.5 1.75 0.8	soso	0	471
3124	breast	MANOBO TIGWA	susu	s u s u	3 7 3 7	AXBZ	SYSY	93	93.S.C 93.Y.V 93.S.C 93.Y.V	2.0 1.5 1.75 0.8	susu	0	471
3164	breast	MANOBO WESTERN BUKIDNON	susu	s u s u	3 7 3 7	AXBZ	SYSY	94	94.S.C 94.Y.V 94.S.C 94.Y.V	2.0 1.5 1.75 0.8	susu	0	471
3204	breast	MANSAKA	aba	a b a	7 1 7	XBZ	APA	95	95.A.V 95.P.C 95.A.V	1.5 1.75 0.8	aba	0	521
3244	breast	MAPUN	dakan	d a k a n	1 7 1 7 4	AXBYN	TAKAN	97	97.T.C 97.A.V 97.K.C 97.A.V 97.N.c	2.0 1.5 1.75 1.3 0.8	dakan	0	449
3284	breast	MARANAO	soso	s o s o	3 7 3 7	AXBZ	SUSU	98	98.S.C 98.U.V 98.S.C 98.U.V	2.0 1.5 1.75 0.8	soso	0	471
3324	breast	MARINDUQUE TAGALOG	susu	s u s u	3 7 3 7	AXBZ	SYSY	99	99.S.C 99.Y.V 99.S.C 99.Y.V	2.0 1.5 1.75 0.8	susu	0	471
3364	breast	MASBATENYO	suso	s u s o	3 7 3 7	AXBZ	SYSU	100	100.S.C 100.Y.V 100.S.C 100.U.V	2.0 1.5 1.75 0.8	suso	0	471
3444	breast	MOKSHA	potja	p o t j a	1 7 1 6 7	AXBCZ	PUTJA	102	102.P.C 102.U.V 102.T.C 102.J.C 102.A.V	2.0 1.5 1.75 1.5 0.8	potja	0	527
3484	breast	MOLBOG	duduʔ	d u d u ʔ	1 7 1 7 1	AXBYN	TYTYH	103	103.T.C 103.Y.V 103.T.C 103.Y.V 103.H.c	2.0 1.5 1.75 1.3 0.8	duduʔ	0	437
3564	breast	MONGOLIAN	mem	m e m	4 7 4	AXN	MEM	105	105.M.C 105.E.V 105.M.c	2.0 1.5 0.8	mem	0	529
3604	breast	MORO MAGINDANAU	susu	s u s u	3 7 3 7	AXBZ	SYSY	106	106.S.C 106.Y.V 106.S.C 106.Y.V	2.0 1.5 1.75 0.8	susu	0	471
3644	breast	NAGA	susu	s u s u	3 7 3 7	AXBZ	SYSY	107	107.S.C 107.Y.V 107.S.C 107.Y.V	2.0 1.5 1.75 0.8	susu	0	471
3684	breast	NORTHERN CATANDUANES	susu	s u s u	3 7 3 7	AXBZ	SYSY	108	108.S.C 108.Y.V 108.S.C 108.Y.V	2.0 1.5 1.75 0.8	susu	0	471
