ID,CONCEPT,DOCULECT,FORM,TOKENS,SONARS,PROSTRINGS,CLASSES,LANGID,NUMBERS,WEIGHTS,IPA,DUPLICATES,COGID
2946,all,HUNGARIAN,mind,m i n d,4 7 4 1,AXLN,MINT,38.0,38.M.C 38.I.V 38.N.c 38.T.c,2.0 1.5 1.1 0.8,mind,0.0,85.0
4234,all,JAPANESE,subete,s u b e t e,3 7 1 7 1 7,AXBYBZ,SYPETE,54.0,54.S.C 54.Y.V 54.P.C 54.E.V 54.T.C 54.E.V,2.0 1.5 1.75 1.3 1.75 0.8,subete,0.0,87.0
4970,all,KAPAMPANGAN,laganus,l a g a n u s,5 7 1 7 4 7 3,AXBYBYN,LAKANYS,64.0,64.L.C 64.A.V 64.K.C 64.A.V 64.N.C 64.Y.V 64.S.c,2.0 1.5 1.75 1.3 1.75 1.3 0.8,laganus,0.0,86.0
5154,all,KOREAN,modun,m o d u n,4 7 1 7 4,AXBYN,MUTYN,66.0,66.M.C 66.U.V 66.T.C 66.Y.V 66.N.c,2.0 1.5 1.75 1.3 0.8,modun,0.0,89.0
6810,all,MOKSHA,sjembje,s j e m b j e,3 6 7 4 1 6 7,ACXMBCZ,SJEMPJE,86.0,86.S.C 86.J.C 86.E.V 86.M.c 86.P.C 86.J.C 86.E.V,2.0 1.5 1.5 1.1 1.75 1.5 0.8,sjembje,0.0,90.0
8282,all,SEDANG,tai taŋ,t a i # t a ŋ,1 7 7 9 1 7 4,AXZ_AXN,TAI_TAN,102.0,102.T.C 102.A.V 102.I.V 102._._ 102.T.C 102.A.V 102.N.c,2.0 1.5 0.8 0.0 2.0 1.5 0.8,tai#taŋ,0.0,91.0
8926,all,SPANISH,todos,t o d o s,1 7 1 7 3,AXBYN,TUTUS,111.0,111.T.C 111.U.V 111.T.C 111.U.V 111.S.c,2.0 1.5 1.75 1.3 0.8,todos,0.0,78.0
9478,all,TAGALOG,lahat,l a h a t,5 7 3 7 1,AXBYN,LAHAT,117.0,117.L.C 117.A.V 117.H.C 117.A.V 117.T.c,2.0 1.5 1.75 1.3 0.8,lahat,0.0,93.0
10030,all,TURKISH,bitin,b i t i n,1 7 1 7 4,AXBYN,PITIN,123.0,123.P.C 123.I.V 123.T.C 123.I.V 123.N.c,2.0 1.5 1.75 1.3 0.8,bitin,0.0,89.0
10674,all,IMOROD,akano,a k a n o,7 1 7 4 7,XBYBZ,AKANU,46.0,46.A.V 46.K.C 46.A.V 46.N.C 46.U.V,1.5 1.75 1.3 1.75 0.8,akano,0.0,86.0
739,ash,BASQUE,hauc,h a u c,3 7 7 1,AXYN,HAYC,10.0,10.H.C 10.A.V 10.Y.V 10.C.c,2.0 1.5 1.3 0.8,hauc,0.0,94.0
1383,ash,BUKIDNON BINUKID,abu,a b u,7 1 7,XBZ,APY,18.0,18.A.V 18.P.C 18.Y.V,1.5 1.75 0.8,abu,0.0,95.0
2395,ash,ESTONIAN,tuk,t u k,1 7 1,AXN,TYK,30.0,30.T.C 30.Y.V 30.K.c,2.0 1.5 0.8,tuk,0.0,96.0
2487,ash,FINNISH,tuhka,t u h k a,1 7 3 1 7,AXMBZ,TYHKA,32.0,32.T.C 32.Y.V 32.H.c 32.K.C 32.A.V,2.0 1.5 1.1 1.75 0.8,tuhka,0.0,96.0
2763,ash,HANUNOO,ajum,a j u m,7 6 7 4,XBYN,AJYM,35.0,35.A.V 35.J.C 35.Y.V 35.M.c,1.5 1.75 1.3 0.8,ajum,0.0,98.0
2855,ash,HIGAONON BINUKID,abu,a b u,7 1 7,XBZ,APY,36.0,36.A.V 36.P.C 36.Y.V,1.5 1.75 0.8,abu,0.0,95.0
2947,ash,HUNGARIAN,hamu,h a m u,3 7 4 7,AXBZ,HAMY,38.0,38.H.C 38.A.V 38.M.C 38.Y.V,2.0 1.5 1.75 0.8,hamu,0.0,94.0
