population,PC1,PC2,longitude,latitude,subgroup,colour,rotPC1,rotPC2,rotLongitude,rotLatitude
SamaKabingaan,0.00477664875,-6.14137e-4,122.079,6.9214,Greater Barito linkage,#A74B82,0.0025757095726241562,-0.01810527362122735,122.83744048894651,10.570600252501098
Sambal,0.005804348571428572,-0.0051507857142857145,119.9781,15.3275,Sambalic,#F1C878,0.016581259994148823,-0.022486144700150045,123.56272725137535,10.34373392409413
Sangil,0.006165442,-0.005545378,125.4,5.4,Sangiric,#A852A0,0.01773062017773203,-0.023721588141057272,123.62224763446108,10.279755662158601
Subanen,0.006820535,-0.005767251,123.1206,7.8683,Subanen,#7CF2D9,0.018262376644439582,-0.025837786601623863,123.64978499747298,10.170166914560195
Subanon,0.0069962,-0.005338013,122.079,6.9214,Subanen,#7CF2D9,0.016868103422244384,-0.02628144956581968,123.57758162946303,10.147191532284848
Sulodnon,0.008826057,-0.007757652,122.4,11.15,Central Philippine,#565153,0.024013341745980445,-0.03264851095055664,123.94760255792582,9.817469015215876
Surigaonon,0.008129637,-0.007076051,125.4939,9.7894,Central Philippine,#565153,0.022046400049951172,-0.03028590221047462,123.84574317134955,9.9398182833565
Tagakaolo,0.007661707777777778,-0.007753201111111111,125.6167,6.4167,Central Philippine,#565153,0.024294287641792534,-0.028985988325619733,123.96215152837385,10.007135190197499
Tagalog,0.006339681,-0.0036597491,120.9842,14.5995,Central Philippine,#565153,0.011756963112886433,-0.02379184755614464,123.3128978222778,10.276117231524662
Tagbanwa,0.0014676134,-4.8288416999999996e-4,118.55,9.4333,Palawanic-Kalamian,#87B1F1,0.003001187882766916,-0.0076664827573378535,122.85947416679275,11.11117999420881
Tausug,0.005272259,-0.0020938214,121.0022,6.0522,Central Philippine,#565153,0.007103159658385704,-0.020038582071451826,123.07189750890865,10.47048258597336
Tboli,0.005523031,-0.0045929049999999996,124.8233,6.2183,Tboli-Blaan,#5C7193,0.014898217381123296,-0.02146020052459874,123.47556976801397,10.396863126954642
Teduray,0.003909837,-0.002470563,124.2333,6.95,Bilic,#BA7862,0.008632971709468836,-0.015849762877978783,123.15111984550097,10.687403379501381
TuwaliIfugao,0.01946031,-0.023907770000000002,121.0889,16.7789,Meso-Cordilleran,#EA7B81,0.07210499163374764,-0.07017982143446373,126.43806069753263,7.8738850894638786
Waray,0.008374334,-0.007121564,125,11.2444,Central Philippine,#565153,0.02212753518599402,-0.031066901669597576,123.8499448084412,9.89937370587703
Yakan,0.0052020090000000005,-0.0023770369,122.1333,6.65,Greater Barito linkage,#A74B82,0.00801154996340812,-0.019889416482283,123.1189391062413,10.478207225418288
Yogad,0.010900849,-0.009507179000000001,121.6772,16.7042,Cagayan Valley,#79F287,0.028989311235226838,-0.03961604474950424,124.2052864541084,9.456650633998546
