fid,iid,father,mother,sex,phenotype,population,matched,latitude,longitude
Bontoc,BNT-18,0,0,0,-9,Bontoc,True,17.0897,120.9764
Bontoc,BNT-19,0,0,0,-9,Bontoc,True,17.0897,120.9764
Bontoc,BNTC-03,0,0,0,-9,Bontoc,True,17.0897,120.9764
Bontoc,BNTC-05,0,0,0,-9,Bontoc,True,17.0897,120.9764
Bontoc,BNTC-08,0,0,0,-9,Bontoc,True,17.0897,120.9764
Bugkalot,AQ-11,0,0,0,-9,Bugkalot,True,15.95,121.2167
Bugkalot,AQ-12,0,0,0,-9,Bugkalot,True,15.95,121.2167
Bugkalot,AQ-13,0,0,0,-9,Bugkalot,True,15.95,121.2167
Bugkalot,Bugkalot-02,0,0,0,-9,Bugkalot,True,15.95,121.2167
Bugkalot,Bugkalot-03,0,0,0,-9,Bugkalot,True,15.95,121.2167
Bugkalot,Bugkalot-09,0,0,0,-9,Bugkalot,True,15.95,121.2167
Bugkalot,Bugkalot-10,0,0,0,-9,Bugkalot,True,15.95,121.2167
Bugkalot,Bugkalot-11,0,0,0,-9,Bugkalot,True,15.95,121.2167
Bugkalot,Bugkalot-14,0,0,0,-9,Bugkalot,True,15.95,121.2167
Bugkalot,Bugkalot-16,0,0,0,-9,Bugkalot,True,15.95,121.2167
Bugkalot,Bugkalot-17,0,0,0,-9,Bugkalot,True,15.95,121.2167
Bugkalot,Bugkalot-18,0,0,0,-9,Bugkalot,True,15.95,121.2167
Bugkalot,Bugkalot-20,0,0,0,-9,Bugkalot,True,15.95,121.2167
BukdinonMatigsalug,MTS-01,0,0,0,-9,BukdinonMatigsalug,True,7.8,125.2
BukdinonMatigsalug,MTS-02,0,0,0,-9,BukdinonMatigsalug,True,7.8,125.2
BukdinonMatigsalug,MTS-04,0,0,0,-9,BukdinonMatigsalug,True,7.8,125.2
BukdinonMatigsalug,MTS-05,0,0,0,-9,BukdinonMatigsalug,True,7.8,125.2
BukdinonMatigsalug,MTS-06,0,0,0,-9,BukdinonMatigsalug,True,7.8,125.2
BukdinonMatigsalug,MTS-07,0,0,0,-9,BukdinonMatigsalug,True,7.8,125.2
BukdinonMatigsalug,MTS-08,0,0,0,-9,BukdinonMatigsalug,True,7.8,125.2
BukdinonMatigsalug,MTS-09,0,0,0,-9,BukdinonMatigsalug,True,7.8,125.2
BukidnonBinukid,BUK-01,0,0,0,-9,BukidnonBinukid,True,8.1575,125.1278
BukidnonBinukid,BUK-02,0,0,0,-9,BukidnonBinukid,True,8.1575,125.1278
BukidnonBinukid,BUK-03,0,0,0,-9,BukidnonBinukid,True,8.1575,125.1278
BukidnonBinukid,BUK-04,0,0,0,-9,BukidnonBinukid,True,8.1575,125.1278
BukidnonBinukid,BUK-05,0,0,0,-9,BukidnonBinukid,True,8.1575,125.1278
BukidnonBinukid,BUK-06,0,0,0,-9,BukidnonBinukid,True,8.1575,125.1278
BukidnonBinukid,BUK-07,0,0,0,-9,BukidnonBinukid,True,8.1575,125.1278
BukidnonBinukid,BUK-08,0,0,0,-9,BukidnonBinukid,True,8.1575,125.1278
BukidnonHigaonon,HG-01,0,0,0,-9,BukidnonHigaonon,True,8.3,125.0
BukidnonHigaonon,HG-02,0,0,0,-9,BukidnonHigaonon,True,8.3,125.0
BukidnonHigaonon,HG-03,0,0,0,-9,BukidnonHigaonon,True,8.3,125.0
BukidnonHigaonon,HG-04,0,0,0,-9,BukidnonHigaonon,True,8.3,125.0
